text,label,notes
"best early game questing path Wizard101",guide_analysis,"quest guide"
"how to beat Darkmoor efficiently",guide_analysis,"boss guide"
"Novus farming route explained",guide_analysis,"world guide"
"how to use team-up system effectively",guide_analysis,"system guide"
"best PvE farming builds explained",guide_analysis,"build guide"
"how to stack damage buffs correctly",guide_analysis,"combat guide"
"blade stacking vs aura stacking guide",guide_analysis,"combat guide"
"best wizard stats priority guide",guide_analysis,"stats guide"
"how to farm reagents efficiently",guide_analysis,"farming guide"
"gear crafting vs farming comparison",guide_analysis,"economy guide"
"how to solo bosses without help",guide_analysis,"solo guide"
"best leveling worlds order explained",guide_analysis,"progression guide"
"how to farm XP efficiently Wizard101",guide_analysis,"leveling guide"
"advanced PvE rotation strategy",guide_analysis,"combat guide"
"how to counter cheat mechanics bosses",guide_analysis,"boss guide"
"best AoE spells per school guide",guide_analysis,"spell guide"
"how critical and block interact",guide_analysis,"mechanics guide"
"pet talents optimization guide",guide_analysis,"pet guide"
"best farming team composition",guide_analysis,"team guide"
"how to maximize damage per turn",guide_analysis,"combat guide"
"gear meta for max level Wizard101",guide_analysis,"endgame guide"
"best dungeon farming strategies",guide_analysis,"farming guide"
"how to optimize energy usage pets",guide_analysis,"pet guide"
"advanced wizard deck synergy guide",guide_analysis,"deck guide"
"best solo PvE schools ranked",guide_analysis,"school guide"
"how to prepare for late game bosses",guide_analysis,"boss guide"

"how do I gear up efficiently in Wizard101",help_question,"gear help"
"what school should I pick for solo PvE",help_question,"school choice"
"how do I beat cheating bosses in Celestia",help_question,"boss help"
"where can I find help for Wizard101 quests",help_question,"quest help"
"how do I improve my pet stats",help_question,"pet help"
"what is the fastest way to level up",help_question,"leveling help"
"how do I build a good PvE deck",help_question,"deck help"
"what does pierce stat do in Wizard101",help_question,"mechanics question"
"how does team-up work",help_question,"system question"
"how do I get better gear at level 50",help_question,"gear question"
"why am I losing to bosses so easily",help_question,"difficulty question"
"what is the best farming method early game",help_question,"farming question"
"how do I train pets properly",help_question,"pet question"
"what is the best school for beginners",help_question,"school question"
"how do I use blades and traps correctly",help_question,"combat question"
"what is the fastest way to get gold",help_question,"economy question"
"how do I solo bosses as a storm wizard",help_question,"solo question"
"what gear should I use at level 80",help_question,"gear question"
"how do I follow main questline properly",help_question,"quest question"
"what are sigils used for",help_question,"mechanics question"
"how do I get help from Discord or Reddit",help_question,"community help"
"how do I beat Darkmoor bosses",help_question,"boss question"
"what is the best pet for damage",help_question,"pet question"
"how do I improve my damage output",help_question,"combat question"
"what spells should I pack for PvE",help_question,"deck question"
"how does resist work in combat",help_question,"mechanics question"
"what is the fastest leveling path",help_question,"leveling question"
"how do I unlock better gear",help_question,"gear question"
"what is AoE farming strategy",help_question,"combat question"
"how do I farm dungeons efficiently",help_question,"farming question"
"what is best way to beat bosses alone",help_question,"solo question"
"how do I improve my wizard stats",help_question,"stats question"
"what is best school for PvP",help_question,"school question"
"how do I fix weak pet talents",help_question,"pet question"
"what does critical rating do",help_question,"mechanics question"
"how do I use feints correctly",help_question,"combat question"
"what is best gear for max level",help_question,"gear question"
"how do I farm XP fast",help_question,"leveling question"
"what worlds should I quest in order",help_question,"quest question"
"how do I beat difficult cheating bosses",help_question,"boss question"
"what is team-up system used for",help_question,"system question"
"how do I build solo deck",help_question,"deck question"
"what is best farming location",help_question,"farming question"
"how do I increase damage per turn",help_question,"combat question"
"what is best school for PvE",help_question,"school question"
"how do I counter enemy shields",help_question,"combat question"
"what pets should I train first",help_question,"pet question"
"how do I get reagents faster",help_question,"farming question"
"what is best spell setup for bosses",help_question,"combat question"
"how do I survive harder dungeons",help_question,"difficulty question"
"what is best way to solo late game",help_question,"solo question"
"how do I improve gear stats quickly",help_question,"gear question"
"what is blade stacking",help_question,"combat question"
"how do I beat storm enemies",help_question,"combat question"
"what is best leveling strategy",help_question,"leveling question"
"how do I avoid dying in boss fights",help_question,"boss question"
"what is pet training strategy",help_question,"pet question"
"how do I optimize questing speed",help_question,"quest question"
"what is best damage strategy",help_question,"combat question"
"how do I farm gear efficiently",help_question,"farming question"

"this game has become pay to win over time",opinion_reaction,"monetization complaint"
"storm is way too overpowered in PvE",opinion_reaction,"balance opinion"
"ice wizard is boring and too slow",opinion_reaction,"school opinion"
"Azteca is the worst world in the game",opinion_reaction,"world opinion"
"Novus grinding ruined the game experience",opinion_reaction,"frustration"
"PvP is completely broken and unfair",opinion_reaction,"PvP complaint"
"Darkmoor is way too difficult for casual players",opinion_reaction,"difficulty opinion"
"the game is just blade and AoE spam now",opinion_reaction,"meta complaint"
"Wizard101 used to be better years ago",opinion_reaction,"nostalgia complaint"
"packs give unfair advantage to paying players",opinion_reaction,"monetization complaint"
"the pet system is way too RNG based",opinion_reaction,"system complaint"
"balance school is underrated",opinion_reaction,"hot take"
"fire wizard is actually the most fun school",opinion_reaction,"opinion"
"the community complains too much about updates",opinion_reaction,"community opinion"
"KI ignores player feedback too often",opinion_reaction,"dev criticism"
"the old Wizard101 ads were the best part of childhood",opinion_reaction,"nostalgia"
"soloing is too easy now compared to old days",opinion_reaction,"game difficulty opinion"
"storm players are carried by damage",opinion_reaction,"school criticism"
"life school is useless in solo play",opinion_reaction,"school opinion"
"gear farming is way too grindy",opinion_reaction,"frustration"
"cheating bosses make the game unfair",opinion_reaction,"difficulty complaint"
"the game relies too much on crowns",opinion_reaction,"monetization complaint"
"team-up system ruined difficulty balance",opinion_reaction,"system opinion"
"wizard101 community is too toxic sometimes",opinion_reaction,"community complaint"
"PvE is too repetitive",opinion_reaction,"game design opinion"
"death school is actually underrated",opinion_reaction,"hot take"
"myth school needs buffs",opinion_reaction,"balance opinion"
"the devs don’t understand the meta",opinion_reaction,"dev criticism"
"too many updates make gear irrelevant",opinion_reaction,"progression complaint"
"PvP meta is boring and repetitive",opinion_reaction,"PvP complaint"
"wizard101 is still fun despite its flaws",opinion_reaction,"positive opinion"
"the game is too expensive for new players",opinion_reaction,"monetization complaint"
"balance school is actually the best support",opinion_reaction,"opinion"
"storm is overrated in high level PvE",opinion_reaction,"balance opinion"
"pets are too RNG dependent",opinion_reaction,"system complaint"
"the storyline is actually really good",opinion_reaction,"positive opinion"
"game updates feel disconnected from players",opinion_reaction,"dev criticism"
"grinding gear takes too long",opinion_reaction,"frustration"
"wizard101 is dying slowly",opinion_reaction,"hot take"
"AOE meta makes fights boring",opinion_reaction,"game meta complaint"
"support schools are underappreciated",opinion_reaction,"opinion"
"too many paywalls in early game",opinion_reaction,"monetization complaint"
"boss cheats are unfair design",opinion_reaction,"difficulty complaint"
"game is too grind heavy",opinion_reaction,"frustration"
"community nostalgia blinds criticism",opinion_reaction,"meta opinion"
"fire school is underrated for soloing",opinion_reaction,"hot take"
"KI should rebalance PvP completely",opinion_reaction,"PvP opinion"
"gear progression is confusing for new players",opinion_reaction,"design complaint"
"wizard101 combat system is outdated",opinion_reaction,"game design opinion"
"storm players are toxic in PvP",opinion_reaction,"community complaint"
"too many worlds feel repetitive",opinion_reaction,"world design complaint"
"the game is better with friends",opinion_reaction,"positive opinion"
"solo play is more fun than group play",opinion_reaction,"opinion"
"wizard101 has one of the best soundtracks",opinion_reaction,"positive opinion"
"pay to win discussions are overblown",opinion_reaction,"meta opinion"
"old school Wizard101 was peak gaming",opinion_reaction,"nostalgia"
"game balance is actually pretty fair",opinion_reaction,"counter opinion"


"best way to farm gold efficiently in mid game","guide_analysis","farming guide"
"how to optimize PvP deck for consistent wins","guide_analysis","deck building"
"gear progression strategy from early to mid game","guide_analysis","gear guide"
"how blade stacking works in boss fights explained","guide_analysis","combat guide"

"how do I beat Atavus in Novus as a solo player","help_question","boss help"
"what gear should I use at level 60 for PvE","help_question","gear question"
"why am I losing to Balaur in fights","help_question","difficulty question"
"how does critical rating actually work in combat","help_question","mechanics question"

"gear crafting feels way too grindy now","opinion_reaction","frustration"
"ice wizards feel weak because they lack good AoE damage","opinion_reaction","balance opinion"
"the summer 2026 update made the game worse overall","opinion_reaction","update opinion"
"pets are way too RNG dependent and unfair","opinion_reaction","system complaint"

"best farming seed route for Beastmoon gear efficiently","guide_analysis","farming guide"
"how to build a balanced deckathalon deck for each floor","guide_analysis","deck guide"

"what is the best way to solo challenge mode dungeons","help_question","solo question"
"how do I improve my pet stats quickly","help_question","pet question"

"PvP combat feels very gatekept by gear","opinion_reaction","game design opinion"
"getting into raids is impossible to get into","opinion_reaction","balance opinion"
